baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003.14	536.820375655794	-0.0732530134581578	0.198132398493604	-0.369717492015939	0.711592997147164	0.929710379474866
ENSG00000000005.6	0	NA	NA	NA	NA	NA
ENSG00000000419.12	811.010468468472	-0.040474515675834	0.179823752992746	-0.225078806343602	0.821917968074982	0.960728330917802
ENSG00000000457.14	113.792312812558	-0.415133396225963	0.292752054799344	-1.41803751475118	0.156179812419306	0.602639534142767
ENSG00000000460.17	254.201616967111	0.426944988352633	0.233231643868273	1.83056201667801	0.0671659422730788	0.443209458598462
ENSG00000000938.13	0.0475238199466145	-0.795770178898364	6.23277661008454	-0.12767506822093	0.898406121267815	NA
ENSG00000000971.15	5337.05868236569	-0.134538429353306	0.134565980702047	-0.999795257697397	0.317409601292785	0.75537601195122
ENSG00000001036.13	941.214961991439	0.141121600538326	0.160052324484244	0.881721655671535	0.377927347193794	0.798095021354167
ENSG00000001084.12	596.65059963747	0.100561005096864	0.132014406645909	0.761742658637175	0.44621360974018	0.829966093897641
ENSG00000001167.14	298.390155884348	0.221125037002172	0.202731412044764	1.0907290329204	0.275392131535738	0.726390583572137
ENSG00000001460.18	30.7733548991255	0.203626218785854	0.486710461129637	0.418372389845998	0.675674870135113	0.920359987205699
ENSG00000001461.17	484.55868502161	0.412929169364969	0.183619966658204	2.2488249882629	0.0245236329049392	0.298342341681025
ENSG00000001497.16	1442.45703146986	-0.0671089114836676	0.114409474749219	-0.586567778855443	0.557494028045011	0.881142527801418
ENSG00000001561.7	0	NA	NA	NA	NA	NA
ENSG00000001617.12	691.625972831297	0.997472977219657	0.21840856720111	4.56700481122239	4.94742659770423e-06	0.00131235868141711
ENSG00000001626.15	0.652300697750098	1.29145713613681	3.41994664454217	0.377624936984858	0.705709237023381	NA
ENSG00000001629.10	688.443099302791	0.156897854225005	0.26363868964428	0.595124541229903	0.551760225331007	0.878353329352766
ENSG00000001630.17	4677.00658501433	-0.0393272735040013	0.123761783290331	-0.31776589233321	0.750662524682884	0.941569091918231
ENSG00000001631.15	295.312143334649	-0.368978190844792	0.46975062621044	-0.78547674075797	0.432174102255886	0.823549802239531
ENSG00000002016.17	88.791978900313	-0.11453478875823	0.301989313462786	-0.379267688134084	0.704489091526173	0.928378008184709
ENSG00000002330.13	139.179425614227	-0.306344903621978	0.292692120141111	-1.04664554506724	0.295263087659306	0.738531431429464
ENSG00000002549.12	430.789855558981	0.00673896752327771	0.183779767867194	0.0366687127831587	0.970749155440089	0.993994716327089
ENSG00000002586.20	940.728351733158	0.327747509190721	0.181431095265076	1.80645720465874	0.0708469530578192	0.451483500694714
ENSG00000002587.10	11.9272310530467	0.512619775908129	0.911694062828341	0.56227170583719	0.573930912803708	0.887987897874395
ENSG00000002726.20	1.54833040513349	-0.520230482428287	2.61790426633631	-0.198720208801347	0.84248161495061	NA
ENSG00000002745.13	3.79871267081607	-0.431493127788083	1.40515865860811	-0.307077869922177	0.758784101705589	NA
ENSG00000002746.15	17.5940927771784	0.208801364124409	0.688976975650749	0.303060002734044	0.761844134769139	0.94423790070625
ENSG00000002822.15	249.097862616212	0.143865733187889	0.228448019474267	0.629752595443685	0.528856465223225	0.867819605789913
ENSG00000002834.18	1213.55740731769	0.116274820136711	0.126864071796973	0.916530728438161	0.359388598150086	0.783327836609216
ENSG00000002919.14	98.7833118340918	-0.49095555630959	0.346149052749379	-1.41833569212467	0.156092780881845	0.602639534142767
ENSG00000002933.9	0	NA	NA	NA	NA	NA
ENSG00000003056.8	1020.63267487717	-0.189823923909375	0.113000033865741	-1.67985723026341	0.0929850969868582	0.499656966022372
ENSG00000003096.14	420.655979605166	-0.142339496050677	0.142816835202717	-0.996657682888977	0.318930696718941	0.756335632635985
ENSG00000003137.8	34.3101456275716	1.83876663269451	0.531547138058959	3.45927294314686	0.000541635730880892	0.0363134021330146
ENSG00000003147.19	72.1190564939097	-0.123870305038625	0.320064976826075	-0.387016118623742	0.698744275087345	0.926873038136766
ENSG00000003249.13	40.5678600136232	0.411227930238899	0.44156903153954	0.931287977341039	0.35170461935035	0.777990791045302
ENSG00000003393.15	126.095105304312	-0.0234455553198175	0.245016276099297	-0.0956897871973033	0.923766952313441	0.983335977790571
ENSG00000003400.14	78.025410657278	-0.568486748502707	0.324920948137228	-1.74961556576097	0.0801846719558923	0.472515499746335
ENSG00000003402.20	342.759918504337	0.0898024131719531	0.165534299033327	0.542500337974508	0.587473874691351	0.893154097739941
ENSG00000003436.16	1312.68810405718	-0.173863492651662	0.140954454676633	-1.23347284802404	0.217399400770241	0.677575348198845
ENSG00000003509.16	189.747864404156	-0.211360166927545	0.210681255915855	-1.00322245568899	0.315753540660376	0.753829916481689
ENSG00000003756.16	469.059246379298	-0.111003715167973	0.173261910721465	-0.640670039397302	0.521737083758004	0.865438984855922
ENSG00000003987.14	34.6430085156175	-0.172857736633204	0.495835842313283	-0.348618881254629	0.727375450832177	0.935475001169188
